timestamp_utc,temperature_C,cloudiness_%,weather_description,sunrise_utc,sunset_utc
2025-09-06T21:27:09.387207,14.14,0,clear sky,2025-09-06T04:47:21,2025-09-06T17:55:50
2025-09-06T21:57:09.589555,13.3,0,clear sky,2025-09-06T04:47:21,2025-09-06T17:55:50
2025-09-06T22:27:09.749189,13.21,0,clear sky,2025-09-07T04:48:44,2025-09-07T17:53:45
2025-09-06T22:57:09.939611,13.21,0,clear sky,2025-09-07T04:48:44,2025-09-07T17:53:45
2025-09-06T23:27:10.133477,12.28,0,clear sky,2025-09-07T04:48:44,2025-09-07T17:53:46
2025-09-06T23:57:10.318999,12.19,0,clear sky,2025-09-07T04:48:44,2025-09-07T17:53:45
2025-09-07T00:27:10.500297,11.27,0,clear sky,2025-09-07T04:48:44,2025-09-07T17:53:45
2025-09-07T00:57:10.692628,11.17,0,clear sky,2025-09-07T04:48:44,2025-09-07T17:53:45
2025-09-07T01:27:10.852043,11.08,0,clear sky,2025-09-07T04:48:44,2025-09-07T17:53:45
2025-09-07T01:57:11.035135,10.25,0,clear sky,2025-09-07T04:48:44,2025-09-07T17:53:45
2025-09-07T02:27:11.222361,9.31,0,clear sky,2025-09-07T04:48:44,2025-09-07T17:53:46
2025-09-07T02:57:11.406432,10.06,0,clear sky,2025-09-07T04:48:44,2025-09-07T17:53:45
2025-09-07T03:27:11.593623,10.06,0,clear sky,2025-09-07T04:48:44,2025-09-07T17:53:45
2025-09-07T03:57:11.778127,9.23,0,clear sky,2025-09-07T04:48:44,2025-09-07T17:53:45
2025-09-07T04:27:11.972791,9.14,0,clear sky,2025-09-07T04:48:44,2025-09-07T17:53:45
2025-09-07T04:57:12.153494,9.04,0,clear sky,2025-09-07T04:48:44,2025-09-07T17:53:45
2025-09-07T05:27:12.306323,9.04,0,clear sky,2025-09-07T04:48:44,2025-09-07T17:53:45
2025-09-07T05:57:12.480002,9.14,0,clear sky,2025-09-07T04:48:44,2025-09-07T17:53:45
2025-09-07T06:27:12.652458,9.23,0,clear sky,2025-09-07T04:48:44,2025-09-07T17:53:45
2025-09-07T06:57:12.817657,11.14,0,clear sky,2025-09-07T04:48:44,2025-09-07T17:53:45
2025-09-07T07:27:13.003429,12.3,0,clear sky,2025-09-07T04:48:44,2025-09-07T17:53:45
2025-09-07T07:57:13.187127,13.27,0,clear sky,2025-09-07T04:48:44,2025-09-07T17:53:45
2025-09-07T08:27:13.347134,15.25,0,clear sky,2025-09-07T04:48:44,2025-09-07T17:53:45
2025-09-07T08:57:13.526636,15.32,0,clear sky,2025-09-07T04:48:44,2025-09-07T17:53:45
2025-09-07T09:27:13.713458,17.3,0,clear sky,2025-09-07T04:48:44,2025-09-07T17:53:45
2025-09-07T09:57:13.897999,19.31,100,overcast clouds,2025-09-07T04:48:44,2025-09-07T17:53:45
2025-09-07T10:27:14.090482,20.7,100,overcast clouds,2025-09-07T04:48:44,2025-09-07T17:53:45
2025-09-07T10:57:14.273291,22.09,100,overcast clouds,2025-09-07T04:48:44,2025-09-07T17:53:45
2025-09-07T11:27:14.453078,20.66,0,clear sky,2025-09-07T04:48:44,2025-09-07T17:53:45
2025-09-07T11:57:14.681252,21.19,0,clear sky,2025-09-07T04:48:44,2025-09-07T17:53:45
2025-09-07T12:27:14.831314,21.74,0,clear sky,2025-09-07T04:48:44,2025-09-07T17:53:45
2025-09-07T12:57:15.018014,22.56,0,clear sky,2025-09-07T04:48:44,2025-09-07T17:53:45
2025-09-07T13:27:15.178615,23.47,0,clear sky,2025-09-07T04:48:44,2025-09-07T17:53:45
2025-09-07T13:57:15.363819,23.38,0,clear sky,2025-09-07T04:48:44,2025-09-07T17:53:45
2025-09-07T14:27:15.764451,24.18,0,clear sky,2025-09-07T04:48:44,2025-09-07T17:53:46
2025-09-07T14:57:15.956374,24.09,0,clear sky,2025-09-07T04:48:44,2025-09-07T17:53:45
2025-09-07T15:27:16.132328,24.9,0,clear sky,2025-09-07T04:48:44,2025-09-07T17:53:46
2025-09-07T15:57:16.304805,24.79,0,clear sky,2025-09-07T04:48:44,2025-09-07T17:53:46
2025-09-07T16:27:16.500185,23.97,0,clear sky,2025-09-07T04:48:44,2025-09-07T17:53:45
2025-09-07T16:57:16.755038,23.04,0,clear sky,2025-09-07T04:48:44,2025-09-07T17:53:45
2025-09-07T17:27:16.942377,22.83,0,clear sky,2025-09-07T04:48:44,2025-09-07T17:53:45
2025-09-07T17:57:17.131690,21.14,0,clear sky,2025-09-07T04:48:44,2025-09-07T17:53:45
2025-09-07T18:27:17.322031,21.14,0,clear sky,2025-09-07T04:48:44,2025-09-07T17:53:46
2025-09-07T18:57:17.540449,19.14,0,clear sky,2025-09-07T04:48:44,2025-09-07T17:53:45
2025-09-07T19:27:17.748641,18.21,0,clear sky,2025-09-07T04:48:44,2025-09-07T17:53:45
2025-09-07T19:57:17.967902,17.28,0,clear sky,2025-09-07T04:48:44,2025-09-07T17:53:45
2025-09-07T20:27:18.134025,16.36,0,clear sky,2025-09-07T04:48:44,2025-09-07T17:53:45
2025-09-07T20:57:18.321954,16.27,0,clear sky,2025-09-07T04:48:44,2025-09-07T17:53:45
2025-09-07T21:27:18.555049,15.25,0,clear sky,2025-09-07T04:48:44,2025-09-07T17:53:45
2025-09-07T21:57:18.736899,14.32,0,clear sky,2025-09-07T04:48:44,2025-09-07T17:53:45
2025-09-07T22:27:18.923887,14.23,0,clear sky,2025-09-08T04:50:07,2025-09-08T17:51:40
2025-09-07T22:57:19.096040,13.38,0,clear sky,2025-09-08T04:50:08,2025-09-08T17:51:41
2025-09-07T23:27:19.274072,14.04,0,clear sky,2025-09-08T04:50:07,2025-09-08T17:51:40
2025-09-07T23:57:19.468367,13.12,0,clear sky,2025-09-08T04:50:07,2025-09-08T17:51:40
2025-09-08T00:27:19.749585,13.12,0,clear sky,2025-09-08T04:50:07,2025-09-08T17:51:40
2025-09-08T00:57:19.946649,13.03,0,clear sky,2025-09-08T04:50:07,2025-09-08T17:51:40
2025-09-08T01:27:20.107262,12.19,0,clear sky,2025-09-08T04:50:07,2025-09-08T17:51:40
2025-09-08T01:57:20.294366,12.19,0,clear sky,2025-09-08T04:50:07,2025-09-08T17:51:40
2025-09-08T02:27:20.468490,12.1,0,clear sky,2025-09-08T04:50:07,2025-09-08T17:51:40
2025-09-08T02:57:20.666940,12.1,0,clear sky,2025-09-08T04:50:07,2025-09-08T17:51:40
2025-09-08T03:27:20.845262,11.26,35,mist,2025-09-08T04:50:08,2025-09-08T17:51:41
2025-09-08T03:57:21.035813,12.1,0,clear sky,2025-09-08T04:50:07,2025-09-08T17:51:40
2025-09-08T04:27:21.210962,12.1,0,clear sky,2025-09-08T04:50:07,2025-09-08T17:51:40
2025-09-08T04:57:21.397767,11.27,0,clear sky,2025-09-08T04:50:07,2025-09-08T17:51:40
2025-09-08T05:27:21.591626,11.27,0,clear sky,2025-09-08T04:50:07,2025-09-08T17:51:40
2025-09-08T05:57:21.770132,12.28,0,clear sky,2025-09-08T04:50:07,2025-09-08T17:51:40
2025-09-08T06:27:21.943752,12.37,0,clear sky,2025-09-08T04:50:07,2025-09-08T17:51:40
2025-09-08T06:57:22.126272,13.14,0,clear sky,2025-09-08T04:50:07,2025-09-08T17:51:40
2025-09-08T07:27:22.310437,14.32,0,clear sky,2025-09-08T04:50:07,2025-09-08T17:51:40
2025-09-08T07:57:22.490904,15.14,0,clear sky,2025-09-08T04:50:08,2025-09-08T17:51:41
2025-09-08T08:27:22.641283,16.45,20,few clouds,2025-09-08T04:50:07,2025-09-08T17:51:40
2025-09-08T08:57:22.795046,20.81,96,overcast clouds,2025-09-08T04:50:07,2025-09-08T17:51:40
2025-09-08T09:27:23.021158,18.93,0,clear sky,2025-09-08T04:50:07,2025-09-08T17:51:40
2025-09-08T09:57:23.177338,21.92,97,overcast clouds,2025-09-08T04:50:07,2025-09-08T17:51:40
2025-09-08T10:27:23.342248,20.63,20,few clouds,2025-09-08T04:50:07,2025-09-08T17:51:40
2025-09-08T10:57:23.522850,23.34,97,overcast clouds,2025-09-08T04:50:07,2025-09-08T17:51:40
2025-09-08T11:27:23.713142,22.3,0,clear sky,2025-09-08T04:50:07,2025-09-08T17:51:40
2025-09-08T11:57:23.917043,22.98,0,light rain,2025-09-08T04:50:07,2025-09-08T17:51:40
2025-09-08T12:27:24.082987,22.83,75,light intensity shower rain,2025-09-08T04:50:07,2025-09-08T17:51:40
2025-09-08T12:57:24.254517,21.87,20,light intensity shower rain,2025-09-08T04:50:07,2025-09-08T17:51:40
2025-09-08T13:27:24.427462,21.07,20,heavy intensity rain,2025-09-08T04:50:07,2025-09-08T17:51:40
2025-09-08T13:57:24.626908,20.17,20,light intensity shower rain,2025-09-08T04:50:07,2025-09-08T17:51:40
2025-09-08T14:27:24.819361,20.17,20,light intensity shower rain,2025-09-08T04:50:07,2025-09-08T17:51:40
2025-09-08T14:57:25.013429,20.14,20,few clouds,2025-09-08T04:50:07,2025-09-08T17:51:40
2025-09-08T15:27:25.235562,19.25,40,scattered clouds,2025-09-08T04:50:08,2025-09-08T17:51:41
2025-09-08T15:57:25.406994,19.26,75,broken clouds,2025-09-08T04:50:07,2025-09-08T17:51:40
2025-09-08T16:27:25.586444,19.23,75,broken clouds,2025-09-08T04:50:08,2025-09-08T17:51:41
2025-09-08T16:57:25.746599,19.14,40,scattered clouds,2025-09-08T04:50:07,2025-09-08T17:51:40
2025-09-08T17:27:25.954579,19.15,40,scattered clouds,2025-09-08T04:50:07,2025-09-08T17:51:40
2025-09-08T17:57:26.161871,18.17,40,scattered clouds,2025-09-08T04:50:07,2025-09-08T17:51:40
2025-09-08T18:27:26.388343,18.21,75,broken clouds,2025-09-08T04:50:07,2025-09-08T17:51:40
2025-09-08T18:57:26.560500,18.12,100,overcast clouds,2025-09-08T04:50:07,2025-09-08T17:51:40
2025-09-08T19:27:26.737296,17.3,75,broken clouds,2025-09-08T04:50:07,2025-09-08T17:51:40
2025-09-08T19:57:26.924686,16.51,20,mist,2025-09-08T04:50:07,2025-09-08T17:51:40
2025-09-08T20:27:27.087867,16.54,20,few clouds,2025-09-08T04:50:07,2025-09-08T17:51:40
